clusterName,markerGene,score
AD,DEFB103B,0.8552631578947368
AD,CCL22,0.8552631578947368
AD,CCL18,0.8552631578947368
AD,CCL26,0.8552631578947368
LP,DUSP4,1.0
LP,TIGIT,1.0
Lupus,ISG15,0.8928571428571428
ND,IL8,0.9210526315789475
ND,TNFAIP6,0.9210526315789475
PB,PECAM1,0.7142857142857143
PB,PPBP,0.7142857142857143
PRG,CD83,0.7142857142857143
PRG,CCL22,0.7142857142857143
PRG,GNLY,0.7142857142857143
PRG,CCL13,0.7142857142857143
PSO,IL36G,1.0
TOX.MP,PML,0.7758620689655173
TOX.MP,CXCL9,0.7758620689655173
Wells,CD59,0.9090909090909091
